actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
503,75450,-0.29903287,-0.27509493,-0.284943,-0.14601098,150,0.0,1.063244,0.9936879,0.9903638,0.85112697,0.7642111,0.718593,0.7054209,0.70511603,0.7642111,0.718593,0.7054209,0.63562095,25.27013710435581,0.0,0.0
511,76650,-0.3253603,-0.31442612,-0.28923485,-0.14868873,150,0.0,1.0158019,1.0175985,0.994758,0.8537593,0.6904416,0.7031725,0.7055231,0.7050705,0.6904416,0.7031725,0.7055231,0.63665926,23.460038063586005,0.0,0.0
519,77850,-0.24791598,-0.3071844,-0.29315126,-0.15110764,150,0.0,0.98638344,0.9918381,0.99804616,0.8559287,0.73846745,0.68465364,0.70489496,0.704821,0.73846745,0.68465364,0.70489496,0.6374601,23.325745507755887,0.0,0.0
527,79050,-0.28496242,-0.2917754,-0.29546592,-0.15311018,150,0.0,1.0046507,1.0181303,1.0023599,0.85841084,0.7196883,0.72635484,0.706894,0.7053007,0.7196883,0.72635484,0.706894,0.6389586,25.128856436718813,0.0,0.0
535,80250,-0.21221256,-0.29229227,-0.29795167,-0.1552156,150,0.0,0.9526328,1.0027481,1.0037661,0.8604938,0.7404202,0.7104558,0.7058143,0.70527816,0.7404202,0.7104558,0.7058143,0.63992435,25.425192490643248,0.0,0.0
544,81600,-0.3554834,-0.30275518,-0.29986262,-0.15758857,150,0.0,1.0799419,1.0150058,1.0075393,0.8630471,0.72445846,0.7122506,0.70767665,0.7054585,0.72445846,0.7122506,0.70767665,0.641182,25.062672056855277,0.0,0.0
552,82800,-0.33253092,-0.29608375,-0.29844096,-0.15955411,150,0.0,1.077006,1.0011585,1.0071845,0.8650582,0.74447507,0.70507467,0.7087436,0.7055041,0.74447507,0.70507467,0.7087436,0.6421557,25.241152686431278,0.0,0.0
560,84000,-0.2770682,-0.29189515,-0.29787442,-0.16137932,150,0.0,0.9731844,1.0036361,1.0074116,0.8670633,0.6961162,0.7117411,0.70953697,0.7056839,0.6961162,0.7117411,0.70953697,0.64323723,25.28872721426131,0.0,0.0
568,85200,-0.3095711,-0.3094337,-0.298108,-0.16352738,150,0.0,1.0246284,1.0031838,1.0075594,0.8690188,0.7150573,0.69375014,0.7094515,0.7054914,0.7150573,0.69375014,0.7094515,0.6439212,25.1021108263849,0.0,0.0
576,86400,-0.22623473,-0.30342948,-0.29873413,-0.16530809,150,0.0,0.9887877,1.0048887,1.0078251,0.8708226,0.762553,0.7014592,0.7090909,0.70551455,0.762553,0.70145875,0.7090908,0.6447965,23.051130781009576,0.0,0.0
