actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
205419,545.92053,2173750,0.9978659,0.98065186,0.07518701,-18.71585,341824,3860080,33221,40528.80787944794,-1484.4075,-0.056975644,1.9956961,74.51177666296284
205497,545.723,2174530,0.9978814,0.98272705,0.06559865,-15.437853,341950,3861340,33233,40538.951011419296,-1457.563,-0.046093088,1.2275782,74.71500047873631
214569,647.7433,2265250,0.99774814,0.97076416,0.10230953,0.026645958,361584,4057680,34651,40152.97573375702,-1970.2738,-0.08891092,1.5798264,92.09992551321601
214659,662.0955,2266150,0.99778295,0.9703369,0.09719952,-1.0290285,361722,4059060,34666,40163.42712545395,-2016.5737,-0.08310664,1.7433565,89.97321806841887
214764,675.63916,2267200,0.9977534,0.9682007,0.10770252,1.7352495,361891,4060750,34681,40173.86930179596,-2032.7136,-0.08625147,2.36244,92.13978958930441
214852,660.649,2268080,0.99775434,0.96173096,0.12612462,-0.28541243,362035,4062190,34696,40184.30246973038,-2000.4537,-0.07880445,2.973709,90.89979452045517
214955,685.7453,2269110,0.9976909,0.96307373,0.12475379,-0.8067368,362210,4063940,34711,40194.91808056831,-2076.462,-0.110904455,2.737988,92.14851939909525
215044,663.13336,2270000,0.99776936,0.9682617,0.10569009,-2.706068,362351,4065350,34726,40205.384501457214,-1993.0997,-0.09008238,1.8064843,91.88624178430192
215148,664.73175,2271040,0.9977703,0.9649658,0.11361362,0.74729675,362520,4067040,34741,40215.76893734932,-2004.5002,-0.09241594,2.111108,97.33091657731946
215237,664.8181,2271930,0.997767,0.96875,0.10199956,-4.212083,362660,4068440,34756,40226.30069422722,-1996.239,-0.08878532,1.0761142,88.48529686620806
215339,653.1238,2272950,0.99777913,0.9737549,0.09238562,-0.5518148,362835,4070190,34771,40236.8475561142,-1987.8613,-0.0926519,1.374949,89.85037603976191
215430,658.7787,2273860,0.9977946,0.96881104,0.11210764,-3.2488976,362976,4071600,34786,40247.285283088684,-2010.5605,-0.08355202,2.7705507,94.53876739702658
215531,676.899,2274870,0.99779344,0.97314453,0.09981039,-2.4039474,363151,4073350,34801,40257.80792284012,-2026.5632,-0.07191774,1.7384473,91.20604951929481
215619,631.2938,2275750,0.99780965,0.975708,0.0945718,-6.5182657,363296,4074800,34816,40268.28782463074,-1931.5939,-0.082232706,2.0112696,91.15361532210771
215722,624.81946,2276780,0.9977951,0.9749756,0.094733745,-4.8603716,363467,4076510,34831,40278.748390197754,-1937.3733,-0.085890055,2.0568604,95.47199437202201
215813,669.5242,2277690,0.9977319,0.9680176,0.1146386,-4.8887796,363608,4077920,34846,40289.16956782341,-2009.1287,-0.09290136,2.5520382,91.11228037424415
215914,671.3705,2278700,0.99775314,0.96643066,0.111024745,-3.899831,363776,4079600,34861,40299.59831762314,-2049.6265,-0.09441908,2.0293171,91.42445485492031
216003,642.0281,2279590,0.9977803,0.97320557,0.09858744,-3.904371,363919,4081030,34876,40310.07069158554,-1968.4824,-0.082277715,2.1280437,90.49669380085132
216106,650.26917,2280620,0.99778914,0.97143555,0.10683984,-0.33502877,364091,4082750,34891,40320.534638404846,-1991.1996,-0.07567954,2.8132615,92.8138115264092
216196,656.41785,2281520,0.99776554,0.9663086,0.12182135,-4.2705526,364235,4084190,34906,40330.96811628342,-1995.1489,-0.09731893,3.0587094,89.5036358550086
216298,668.91095,2282540,0.99778247,0.97302246,0.0992616,-6.2841797,364412,4085960,34921,40341.48477077484,-2030.7867,-0.082212836,1.9618615,94.85278064976173
216386,649.2746,2283420,0.99782324,0.9755249,0.09081669,-5.9182262,364556,4087400,34936,40352.00237131119,-2035.5009,-0.06624611,1.8601477,92.63870019256917
216489,664.42163,2284450,0.9977696,0.97076416,0.10123987,-5.665947,364732,4089160,34951,40362.43473792076,-2080.1572,-0.08523695,2.010232,92.54180413376936
216579,663.37775,2285350,0.99778605,0.97058105,0.1050276,-5.927006,364872,4090560,34966,40372.917791843414,-2068.5596,-0.07802738,2.1646807,89.81451135849592
216682,653.2102,2286380,0.9977472,0.9649048,0.11329979,-9.68433,365045,4092290,34981,40383.33121466637,-2007.4985,-0.09357627,2.1465106,93.81708783251038
216770,649.97144,2287260,0.99777937,0.9691162,0.107691675,-3.078993,365183,4093670,34996,40393.760123968124,-1990.9543,-0.08119764,2.4385836,91.76471135195597
216874,627.4852,2288300,0.99776196,0.9717407,0.09271882,-5.3300514,365356,4095400,35011,40404.25561308861,-1919.0913,-0.08752365,1.062664,91.56535125375773
216962,658.797,2289180,0.9977925,0.97229004,0.09273171,-5.74662,365492,4096760,35026,40414.708265304565,-1988.8295,-0.073287115,1.2452427,89.34470652609492
217065,631.2724,2290210,0.99775076,0.9727783,0.10515825,-1.6758215,365667,4098510,35041,40425.14583659172,-1990.3218,-0.080333054,2.6719508,92.33943814539201
217156,646.347,2291120,0.997792,0.97247314,0.10429125,-7.4076385,365809,4099930,35056,40435.62616157532,-1964.0745,-0.082270384,2.171338,92.71078504679998
217257,643.8881,2292130,0.997771,0.9699707,0.09981452,-4.663995,365969,4101530,35071,40446.11065363884,-1998.4026,-0.09284866,1.7850628,92.96185915783663
217347,648.3634,2293030,0.99777484,0.97283936,0.10105409,-9.46858,366109,4102930,35086,40456.64214992523,-1995.6597,-0.086741954,2.0976915,91.82322191261254
205575,536.0722,2175310,0.9978857,0.9830322,0.06430982,-16.468046,342065,3862490,33245,40549.04335474968,-1447.0662,-0.045430906,1.435362,76.27149178300274
205651,527.2604,2176070,0.99787474,0.9837036,0.06420599,-17.707361,342193,3863770,33257,40559.093173742294,-1433.7126,-0.043872792,1.4271281,75.79552368523149
205726,529.7864,2176820,0.9978924,0.9840088,0.06404567,-18.793509,342309,3864930,33269,40569.15875124931,-1433.252,-0.043083638,1.7500217,76.39404444214243
205801,543.5991,2177570,0.9978862,0.98327637,0.06514407,-17.276981,342440,3866240,33281,40579.1708419323,-1463.8518,-0.04626039,1.5573945,76.2492418690527
205879,546.2495,2178350,0.99788237,0.98065186,0.073683694,-17.614254,342558,3867420,33293,40589.19688463211,-1446.4609,-0.04913467,1.7484595,80.14063241236522
205957,550.5335,2179130,0.9978626,0.9783325,0.074909225,-14.910706,342688,3868720,33305,40599.19889211655,-1472.8438,-0.053897724,1.9167197,78.25139283074046
206034,530.07166,2179900,0.99790835,0.98376465,0.06696895,-16.448202,342800,3869840,33317,40609.38322997093,-1463.009,-0.04798718,1.5208633,75.49901265172693
206113,531.14154,2180690,0.9978316,0.9786377,0.0864207,-15.619106,342927,3871110,33329,40619.786002635956,-1428.9253,-0.06521171,2.5954845,71.52444339404204
206189,538.4643,2181450,0.9978819,0.982605,0.07096071,-15.854185,343053,3872370,33341,40630.21787047386,-1443.7769,-0.054867025,2.1335554,73.35604847855494
206264,523.4892,2182200,0.9978905,0.98254395,0.06463881,-15.701737,343175,3873590,33353,40640.700979709625,-1421.345,-0.055073634,0.9046862,73.01397907898122
206341,517.2544,2182970,0.99785185,0.9831543,0.06268017,-18.737625,343293,3874770,33365,40650.86485862732,-1420.0927,-0.052964132,1.1591318,73.0562649447551
206419,527.0041,2183750,0.99788857,0.98547363,0.05696117,-16.6984,343418,3876020,33377,40660.88017630577,-1418.5605,-0.05279351,1.1253345,75.75086337240967
206492,552.86926,2184480,0.9978647,0.98065186,0.07980881,-14.989329,343550,3877340,33390,40671.73143339157,-1483.3691,-0.045674097,2.3553836,75.6388670433646
206572,542.0389,2185280,0.99790955,0.98553467,0.057383496,-16.514147,343665,3878490,33402,40681.82167983055,-1472.3,-0.045664042,1.2714577,77.52005999791497
206649,548.8172,2186050,0.9978931,0.98358154,0.07166156,-12.613069,343782,3879660,33414,40691.9886868,-1451.3809,-0.040194426,2.0750475,75.97200501394288
206724,490.40915,2186800,0.99778914,0.96691895,0.17271721,-12.772234,343911,3880950,33426,40702.03594183922,-1310.9651,0.025394581,9.134565,77.85840401492108
206800,524.28864,2187560,0.9978845,0.98553467,0.05828966,-16.760185,344040,3882240,33438,40712.158960580826,-1399.7742,-0.04848199,0.8499881,73.16402876678202
206879,524.073,2188350,0.9978812,0.9842529,0.06076301,-16.130207,344160,3883440,33450,40722.161350011826,-1401.7905,-0.048478194,1.1561896,79.3199760062171
206954,532.4761,2189100,0.9978993,0.9846802,0.059927717,-15.356796,344285,3884690,33462,40732.26184439659,-1434.1925,-0.04545269,1.0540335,77.11614962004342
207033,536.196,2189890,0.99790335,0.98516846,0.05914687,-15.93604,344397,3885810,33474,40742.374416828156,-1429.7631,-0.04769373,1.2855878,76.26087433305406
207108,528.1731,2190640,0.99788976,0.9852905,0.057293862,-16.146633,344526,3887100,33486,40752.41466164589,-1413.564,-0.053314425,1.2300771,75.23735764528085
207183,524.32605,2191390,0.99787354,0.9829712,0.07656571,-17.627003,344640,3888240,33498,40762.46710205078,-1443.3174,-0.050257146,2.5665684,76.21923480771382
207261,537.9327,2192170,0.9978652,0.98010254,0.07065326,-17.734058,344760,3889440,33510,40772.60443329811,-1462.1096,-0.049531933,1.5083656,76.68447335952183
207339,516.2453,2192950,0.9978566,0.9828491,0.06919632,-14.931736,344886,3890700,33522,40782.67146229744,-1416.5007,-0.059843533,1.8740273,73.77875892154319
207429,525.31274,2193850,0.9979017,0.9844971,0.061604954,-16.605917,345023,3892070,33535,40793.505377054214,-1416.2314,-0.04986684,1.6109371,75.94554597465384
207495,527.0843,2194510,0.99789405,0.9859009,0.054672398,-17.563553,345144,3893280,33547,40803.7990629673,-1434.3718,-0.046565063,1.233264,73.8476463484081
207572,520.594,2195280,0.99789,0.9830322,0.06826759,-12.508767,345257,3894410,33559,40813.92030906677,-1417.2805,-0.03523295,1.7007272,76.09141782900514
207654,527.71136,2196100,0.9978945,0.98291016,0.06734483,-17.304485,345380,3895640,33571,40823.996331214905,-1416.8457,-0.054518953,1.7634548,79.17896477443907
207727,530.5648,2196830,0.9978614,0.98535156,0.058817025,-16.975735,345500,3896840,33583,40834.022679805756,-1443.2769,-0.046626657,1.4708514,73.50612000014239
207807,534.9254,2197630,0.99785733,0.98095703,0.07895355,-14.59047,345629,3898130,33595,40844.08605456352,-1451.0205,-0.059968334,2.249511,77.22307963167961
217448,660.0416,2294040,0.99776316,0.96795654,0.107227065,-4.0256877,366285,4104690,35101,40467.123409986496,-2022.7957,-0.09048952,2.2513902,90.09310046470354
