actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
174,26100,-0.04203528,150,0.0,319,47850,0.7032391,0.6612038,0.2958106,224.807903402854,0.0,0.0
174,26100,-0.03739178,150,0.0,322,48300,0.7059591,0.6685673,0.30789375,410.04929229096723,0.0,0.0
174,26100,-0.036423028,150,0.0,325,48750,0.7090415,0.67261845,0.31697038,386.27274736609445,0.0,0.0
174,26100,-0.03911817,150,0.0,328,49200,0.6974521,0.65833396,0.27459028,393.0084424163489,0.0,0.0
176,26400,-0.03855914,150,0.0,331,49650,0.69631594,0.6577568,0.27893814,152.74179694460858,0.0,0.0
176,26400,-0.03954816,150,0.0,333,49950,0.6984371,0.65888894,0.2745202,372.305904269106,0.0,0.0
177,26550,-0.03859037,150,0.0,335,50250,0.6963371,0.65774673,0.27106598,171.5990007557882,0.0,0.0
178,26700,-0.03302586,150,0.0,337,50550,0.7345612,0.70153534,0.37726375,272.0199094975671,0.0,0.0
178,26700,-0.035044074,150,0.0,340,51000,0.7091627,0.67411864,0.31785595,386.0340772638052,0.0,0.0
178,26700,-0.03348553,150,0.0,343,51450,0.7302763,0.69679075,0.36757746,351.98886428458735,0.0,0.0
178,26700,-0.03301382,150,0.0,346,51900,0.7336659,0.70065206,0.375512,413.3323697713073,0.0,0.0
178,26700,-0.035051882,150,0.0,349,52350,0.70416725,0.66911536,0.30628866,364.48205703374475,0.0,0.0
180,27000,-0.03489083,150,0.0,351,52650,0.7074474,0.6725566,0.3136373,138.14223468996113,0.0,0.0
181,27150,-0.03864765,150,0.0,353,52950,0.695024,0.65637636,0.27600744,344.25196695289327,0.0,0.0
182,27300,-0.03327179,150,0.0,355,53250,0.7308078,0.697536,0.3708971,225.62847554201062,0.0,0.0
182,27300,-0.034796655,150,0.0,357,53550,0.7161265,0.68132985,0.3378644,395.1410779390845,0.0,0.0
182,27300,-0.03442365,150,0.0,360,54000,0.71022666,0.675803,0.32534778,385.8645566988432,0.0,0.0
182,27300,-0.033311844,150,0.0,363,54450,0.72638744,0.6930756,0.36245692,403.1036281182044,0.0,0.0
182,27300,-0.032647192,150,0.0,366,54900,0.73663276,0.7039856,0.3825597,361.8996889763485,0.0,0.0
184,27600,-0.033875883,150,0.0,368,55200,0.7007979,0.66692203,0.29751834,165.08813508798815,0.0,0.0
184,27600,-0.033374608,150,0.0,370,55500,0.7083211,0.6749465,0.31968698,371.24699501145346,0.0,0.0
185,27750,-0.032556236,150,0.0,372,55800,0.72666645,0.6941102,0.36252382,161.19505776057852,0.0,0.0
186,27900,-0.033605933,150,0.0,374,56100,0.71221584,0.6786099,0.3295255,339.4343279137119,0.0,0.0
186,27900,-0.03244096,150,0.0,377,56550,0.7220417,0.68960077,0.35290065,403.3000126923565,0.0,0.0
186,27900,-0.029338121,150,0.0,380,57000,0.7395265,0.7101884,0.3911146,391.70841224835914,0.0,0.0
186,27900,-0.033037305,150,0.0,383,57450,0.6911589,0.6581216,0.27677274,391.15972223517497,0.0,0.0
187,28050,-0.03048426,150,0.0,386,57900,0.73275644,0.7022722,0.3782388,255.80067614956607,0.0,0.0
187,28050,-0.03270781,150,0.0,388,58200,0.70723385,0.67452604,0.32071668,373.13946433369097,0.0,0.0
189,28350,-0.033411145,150,0.0,389,58350,0.7018093,0.66839814,0.30378625,138.37003946042455,0.0,0.0
189,28350,-0.03317195,150,0.0,391,58650,0.69890845,0.6657365,0.2946963,376.4762201678731,0.0,0.0
189,28350,-0.032276034,150,0.0,394,59100,0.6956989,0.6634229,0.28961655,416.2777895405463,0.0,0.0
189,28350,-0.03071934,150,0.0,397,59550,0.7389121,0.70819277,0.38893935,416.54926756600184,0.0,0.0
189,28350,-0.03156483,150,0.0,400,60000,0.70271635,0.6711515,0.30911443,437.45682938751446,0.0,0.0
190,28500,-0.02949518,150,0.0,403,60450,0.73407066,0.7045755,0.38183713,280.00779745834905,0.0,0.0
191,28650,-0.031040072,150,0.0,404,60600,0.7084984,0.67745835,0.32543337,137.74213414993253,0.0,0.0
192,28800,-0.03091067,150,0.0,406,60900,0.70695984,0.6760492,0.32341892,235.04453978543793,0.0,0.0
192,28800,-0.030004561,150,0.0,408,61200,0.7228966,0.692892,0.35903713,431.0562751105825,0.0,0.0
193,28950,-0.031787872,150,0.0,410,61500,0.7013158,0.66952795,0.30378023,165.73944307574936,0.0,0.0
193,28950,-0.025791109,150,0.0,413,61950,0.72779256,0.70200145,0.37682602,380.3329349527293,0.0,0.0
193,28950,-0.032482564,150,0.0,416,62400,0.6911583,0.65867573,0.2773572,399.57523994370405,0.0,0.0
193,28950,-0.01192838,150,0.0,419,62850,0.710131,0.6982026,0.36882472,428.3932434392357,0.0,0.0
193,28950,-0.030057967,150,0.0,422,63300,0.71062,0.680562,0.3325412,431.4121535444409,0.0,0.0
196,29400,0.052056074,150,0.0,423,63450,0.64039993,0.692456,0.35731593,129.84994966125055,0.0,0.0
196,29400,0.0638898,150,0.0,424,63600,0.6409326,0.7048224,0.38076264,142.42421910053093,0.0,0.0
197,29550,0.049857676,150,0.0,427,64050,0.666789,0.7166467,0.3883697,156.65566512827726,0.0,0.0
198,29700,-0.005419314,150,0.0,429,64350,0.6744651,0.6690458,0.30577996,342.38061083109034,0.0,0.0
198,29700,0.06061083,150,0.0,432,64800,0.63005227,0.6906631,0.35406056,399.38271879235316,0.0,0.0
198,29700,-0.035729766,150,0.0,435,65250,0.6917823,0.65605253,0.27451307,370.66628489215753,0.0,0.0
198,29700,-0.030913055,150,0.0,438,65700,0.6922707,0.66135764,0.2831181,393.6899042222075,0.0,0.0
