actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
24111,290.66223,279470,0.99726987,0.92041016,0.2548693,-31.227531,25415,366850,2012,3405.2126817703247,-710.46545,-0.21951787,3.8116846,22.368491724501247
24149,305.41437,279850,0.99719286,0.9102173,0.27177984,-31.444672,25501,367710,2018,3416.300856590271,-736.91785,-0.24615845,4.3580947,38.819658779199116
24180,322.6463,280160,0.99700665,0.91900635,0.30792105,-31.425875,25562,368320,2023,3426.5499727725983,-767.78,-0.20609048,9.033395,32.27241437308115
24212,311.0393,280480,0.9972217,0.9180908,0.2663241,-32.088955,25631,369010,2028,3436.9287316799164,-746.7666,-0.19318524,5.224342,26.96270999308544
24244,304.7107,280800,0.9973793,0.92352295,0.23298746,-31.905148,25689,369590,2033,3447.5268049240112,-744.86456,-0.20532869,2.3783908,33.67602349232197
24283,317.25946,281190,0.99738526,0.92370605,0.23918432,-31.826736,25764,370340,2039,3457.6651799678802,-763.5216,-0.2152349,3.648909,40.04333417268033
24315,316.51758,281510,0.99732304,0.9164429,0.2511191,-31.093044,25834,371040,2044,3467.7505037784576,-756.0735,-0.24130481,3.086597,31.176901014218807
24355,323.95517,281910,0.99726105,0.9124756,0.25842544,-31.606838,25915,371850,2050,3478.5434029102325,-768.9603,-0.20698252,3.6034803,31.788772324399705
24393,325.08282,282290,0.99717116,0.9172363,0.27001965,-31.81822,25992,372620,2056,3490.4489505290985,-774.6201,-0.23170798,5.1175303,30.828506124346504
24429,312.65417,282650,0.99722815,0.91937256,0.25754392,-31.535723,26070,373400,2062,3502.356985092163,-750.24115,-0.22221053,4.372165,31.9977494868997
24469,330.972,283050,0.9972737,0.91534424,0.25896987,-31.633785,26153,374230,2068,3513.1045656204224,-788.8879,-0.21389839,3.7730808,38.76751976680171
24507,328.8523,283430,0.99726987,0.91326904,0.2546526,-31.252571,26231,375010,2074,3523.525304079056,-775.07776,-0.21557346,3.377815,34.11247369308598
24540,327.53552,283760,0.99735475,0.91918945,0.24558559,-31.484276,26287,375570,2079,3534.0468616485596,-777.92834,-0.19597356,3.0207393,27.293672852686505
