actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
212,31800,-0.12996149,150,0.0,622,93300,0.8787556,0.74879414,0.73262674,528.2330202730727,0.0,0.0
212,31800,-0.121138036,150,0.0,627,94050,0.85060483,0.7294668,0.71100837,718.9956047422157,0.0,0.0
213,31950,-0.1574496,150,0.0,630,94500,0.83400816,0.67655855,0.6694741,694.7716453001127,0.0,0.0
213,31950,-0.1514923,150,0.0,635,95250,0.92283267,0.77134037,0.77082855,696.479111015661,0.0,0.0
214,32100,-0.1468274,150,0.0,639,95850,0.9088749,0.7620475,0.76061803,386.6425926221821,0.0,0.0
216,32400,-0.10028863,150,0.0,642,96300,0.83518565,0.734897,0.73073244,532.023173591374,0.0,0.0
216,32400,-0.12874311,150,0.0,646,96900,0.8560625,0.72731936,0.7153924,858.2433682280625,0.0,0.0
217,32550,-0.14193016,150,0.0,650,97500,0.8489183,0.70698816,0.6950958,399.9628737261683,0.0,0.0
217,32550,-0.15502495,150,0.0,654,98100,0.8305523,0.67552733,0.66982776,706.6526791550884,0.0,0.0
217,32550,-0.18101531,150,0.0,659,98850,0.8769759,0.6959606,0.6959606,686.9504167153463,0.0,0.0
219,32850,-0.13743246,150,0.0,662,99300,0.822785,0.68535256,0.6767642,223.7616909765951,0.0,0.0
220,33000,-0.16546065,150,0.0,666,99900,0.84404045,0.6785798,0.67138094,282.0813955000271,0.0,0.0
221,33150,-0.17113507,150,0.0,671,100650,0.83167994,0.6605449,0.65917444,299.15025802276534,0.0,0.0
221,33150,-0.18129021,150,0.0,676,101400,0.8741355,0.6928453,0.6928453,727.7877711365321,0.0,0.0
221,33150,-0.14067662,150,0.0,681,102150,0.84554183,0.7048652,0.6915478,657.1356352477424,0.0,0.0
223,33450,-0.11026198,150,0.0,684,102600,0.83667415,0.7264122,0.71107244,266.86087719648,0.0,0.0
224,33600,-0.10451925,150,0.0,688,103200,0.7609589,0.65643966,0.6535487,304.9977021390468,0.0,0.0
224,33600,-0.13508391,150,0.0,693,103950,0.8405723,0.7054884,0.6963615,682.3216559335232,0.0,0.0
225,33750,-0.19754624,150,0.0,696,104400,0.8731053,0.67555904,0.67555904,646.8625174915768,0.0,0.0
225,33750,-0.10227591,150,0.0,701,105150,0.83615655,0.73388064,0.71447355,826.7147075171579,0.0,0.0
226,33900,-0.15327567,150,0.0,706,105900,0.8024393,0.6491636,0.6483815,304.56745455055955,0.0,0.0
227,34050,-0.13777626,150,0.0,710,106500,0.86462134,0.7268451,0.7161931,705.4981357405175,0.0,0.0
228,34200,-0.17783004,150,0.0,713,106950,0.86099845,0.6831684,0.6831684,431.7262514590549,0.0,0.0
229,34350,-0.11260742,150,0.0,717,107550,0.86896765,0.75636023,0.73874474,373.489897625712,0.0,0.0
229,34350,-0.12829572,150,0.0,722,108300,0.7799749,0.65167916,0.65018606,696.8123505495126,0.0,0.0
229,34350,-0.124092996,150,0.0,727,109050,0.85758203,0.73348904,0.71845895,681.4244866129452,0.0,0.0
231,34650,-0.14906305,150,0.0,730,109500,0.84011644,0.6910534,0.68318444,393.2489345982726,0.0,0.0
232,34800,-0.21097201,150,0.0,734,110100,0.90549827,0.69452626,0.69452626,445.6046213166446,0.0,0.0
233,34950,-0.12819189,150,0.0,738,110700,0.84676087,0.718569,0.7037069,283.1065030578776,0.0,0.0
233,34950,-0.22168654,150,0.0,743,111450,0.9282257,0.70653915,0.70653915,751.2347728070573,0.0,0.0
233,34950,-0.17686695,150,0.0,748,112200,0.8651138,0.68824685,0.68824685,728.4467297532307,0.0,0.0
235,35250,-0.24683219,150,0.0,752,112800,0.9565755,0.7097433,0.7097433,465.7312249745906,0.0,0.0
236,35400,-0.25175142,150,0.0,755,113250,0.9894973,0.7377459,0.7377459,299.78271973895875,0.0,0.0
236,35400,-0.119894564,150,0.0,760,114000,0.8459514,0.7260568,0.7194018,741.7341716487329,0.0,0.0
237,35550,0.016349554,150,0.0,763,114450,0.69587976,0.7122293,0.67792314,388.78938980371606,0.0,0.0
237,35550,-0.2405675,150,0.0,768,115200,0.96931314,0.72874564,0.72874564,705.0229947914332,0.0,0.0
238,35700,-0.24877,150,0.0,773,115950,0.9454942,0.6967242,0.6967242,560.0918729802634,0.0,0.0
240,36000,-0.29372805,150,0.0,775,116250,1.0010072,0.70727915,0.70727915,274.69048804128573,0.0,0.0
240,36000,0.27221468,150,0.0,779,116850,0.38043705,0.6526517,0.37252098,536.3587537532161,0.0,0.0
241,36150,-0.14207906,150,0.0,783,117450,0.8319567,0.6898776,0.6898776,497.19226456203074,0.0,0.0
241,36150,-0.11967772,150,0.0,788,118200,0.7710119,0.65133417,0.6474075,737.2440017577267,0.0,0.0
241,36150,-0.24033493,150,0.0,793,118950,0.9448125,0.70447755,0.70447755,709.6024551751207,0.0,0.0
243,36450,-0.2750206,150,0.0,796,119400,1.0033865,0.7283659,0.7283659,221.3745550662281,0.0,0.0
244,36600,-0.31726897,150,0.0,800,120000,1.0104662,0.69319725,0.69319725,315.57031777448515,0.0,0.0
245,36750,0.26736832,150,0.0,804,120600,0.41185737,0.6792257,0.4048484,234.13745339733347,0.0,0.0
245,36750,-0.26790524,150,0.0,809,121350,1.0018613,0.7339561,0.7339561,696.9451180267614,0.0,0.0
245,36750,-0.06904173,150,0.0,814,122100,0.7935859,0.72454417,0.72365004,711.3499065509322,0.0,0.0
247,37050,-0.08662546,150,0.0,819,122850,0.7732322,0.68660676,0.68660676,263.7844092953052,0.0,0.0
248,37200,-0.26228684,150,0.0,822,123300,0.9679933,0.7057065,0.7057065,656.1117947648347,0.0,0.0
248,37200,-0.12868327,150,0.0,827,124050,0.78467417,0.6559909,0.65550166,705.1589098457304,0.0,0.0
249,37350,-0.11881131,150,0.0,830,124500,0.8492963,0.73048496,0.71124893,695.3882883480337,0.0,0.0
249,37350,-0.21137464,150,0.0,835,125250,0.9088979,0.69752324,0.69752324,729.2877469760109,0.0,0.0
251,37650,-0.1355794,150,0.0,840,126000,0.82754934,0.69196993,0.6828447,280.7902259414226,0.0,0.0
