actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
390,58500,0.20428401,0.18735743,0.15208034,0.11725776,150,0.0,0.45234346,0.4939301,0.53169537,0.5648155,0.6566275,0.68128747,0.6837758,0.68207324,0.2906952,0.33816165,0.341715,0.35653436,16.822864281465613,0.0,0.0
398,59700,0.15427434,0.18538925,0.15844543,0.118661426,150,0.0,0.53449,0.49529618,0.52461475,0.56333506,0.68876433,0.68068546,0.68306005,0.68199646,0.3539878,0.3363002,0.34023112,0.35602462,15.427293659086622,0.0,0.0
406,60900,0.18020707,0.18764937,0.16455548,0.12017679,150,0.0,0.53442705,0.49199653,0.5181297,0.5618184,0.7146341,0.6796459,0.6826853,0.68199515,0.3894295,0.3334932,0.3394828,0.35566533,15.172488270027856,0.0,0.0
414,62100,0.15580106,0.19551942,0.16932441,0.121450305,150,0.0,0.533529,0.48868218,0.51360154,0.56056637,0.68933004,0.68420154,0.6829259,0.6820167,0.3550872,0.34053677,0.33979562,0.35534665,16.93947767563701,0.0,0.0
422,63300,0.14690042,0.18962385,0.1722165,0.12271327,150,0.0,0.5076946,0.49149337,0.5093341,0.55927354,0.654595,0.68111724,0.6815506,0.6819868,0.29027182,0.33822834,0.33767155,0.3549966,15.373021279303323,0.0,0.0
430,64500,0.20898253,0.1937698,0.17767595,0.12397404,150,0.0,0.4815067,0.48449984,0.503053,0.557934,0.69048923,0.6782696,0.6807291,0.681908,0.35733238,0.3325557,0.3364346,0.35456043,16.524512577969638,0.0,0.0
438,65700,0.16319805,0.19218855,0.17910679,0.12534107,150,0.0,0.5112129,0.48729149,0.5018934,0.5565404,0.67441094,0.67948,0.68100023,0.6818814,0.3251785,0.333072,0.3367701,0.3541967,15.195658728261199,0.0,0.0
446,66900,0.2503701,0.18846981,0.18406628,0.12648693,150,0.0,0.4614321,0.49136734,0.49611264,0.5553832,0.7118022,0.67983717,0.68017876,0.68187004,0.38924846,0.33374345,0.3349551,0.35387683,16.759918423393582,0.0,0.0
454,68100,0.21492577,0.20034404,0.18709835,0.12793873,150,0.0,0.47282708,0.47795263,0.4931439,0.55396914,0.68775284,0.6782967,0.68024224,0.68190783,0.35201555,0.33077607,0.33488855,0.353645,16.372081636196402,0.0,0.0
462,69300,0.13940328,0.2059443,0.19125107,0.12930708,150,0.0,0.5210683,0.4878931,0.49049318,0.5528629,0.66047156,0.6938374,0.68174416,0.68217,0.29518402,0.35881108,0.3376248,0.3538307,16.405826585119286,0.0,0.0
